scenario_id,varied_component,fiscal_w,runway_w,social_w,chain_w,country_code_a3,country_label,right_now_risk_score,rank,stress_status,brent_live_usd,fiscal_breakeven_usd,price_gap_usd,reserve_runway_risk,reserve_runway_months,runway_status,fiscal_stress_score,social_stability_risk,confidence,chain_transmission_severity_recent,chain_severity_raw,primary_driver,missing_components,rescaled_weights
fiscal_w_0.40,fiscal_w,0.4,0.23076923076923073,0.18461538461538463,0.18461538461538463,DZA,Algeria,0.278038092105352,3,Red,111.2300033569336,135,-23.769996643066406,0.3666666666666667,25.0,Amber,0.17607404920789932,0.23827304588208706,medium,0.42793951307145434,0.3121538965915884,Mixed,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
fiscal_w_0.40,fiscal_w,0.4,0.23076923076923073,0.18461538461538463,0.18461538461538463,IRQ,Iraq,0.2684940119601241,4,Red,111.2300033569336,130,-18.769996643066406,0.0,40.0,Green,0.14438458956204928,0.4977909832200554,medium,0.6437183041795101,0.4167974535830795,Chain transmission,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
fiscal_w_0.40,fiscal_w,0.4,0.23076923076923073,0.18461538461538463,0.18461538461538463,LBY,Libya,0.24533525758996944,5,Red,111.2300033569336,115,-3.7699966430664062,0.0,100.0,Green,0.032782579504925274,0.41323538056207654,low,0.8446350091229197,0.5142335294658096,Chain transmission,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
fiscal_w_0.40,fiscal_w,0.4,0.23076923076923073,0.18461538461538463,0.18461538461538463,JOR,Jordan,0.12221147800946519,6,Gray,111.2300033569336,0,,0.0,,Gray,0.0,0.43544700814237125,high,0.22653183107556524,0.2144797176732966,Social stability,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
fiscal_w_0.40,fiscal_w,0.4,0.23076923076923073,0.18461538461538463,0.18461538461538463,EGY,Egypt,0.12019202863698891,7,Green,111.2300033569336,45,66.2300033569336,0.0,,Gray,0.0,0.3177750552485924,high,0.3332650998684309,0.2662408237507762,Mixed,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
fiscal_w_0.40,fiscal_w,0.4,0.23076923076923073,0.18461538461538463,0.18461538461538463,BHR,Bahrain,0.11913567642760975,8,Green,111.2300033569336,95,16.230003356933594,0.0,,Gray,0.0,0.3024414646273633,high,0.34287678268885613,0.2709020820414468,Chain transmission,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
fiscal_w_0.40,fiscal_w,0.4,0.23076923076923073,0.18461538461538463,0.18461538461538463,OMN,Oman,0.08268294009894808,9,Green,111.2300033569336,90,21.230003356933594,0.0,,Gray,0.0,0.2441683278062743,high,0.20369759772969448,0.2034060834842485,Social stability,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
fiscal_w_0.40,fiscal_w,0.4,0.23076923076923073,0.18461538461538463,0.18461538461538463,KWT,Kuwait,0.06873305095164996,10,Green,111.2300033569336,50,61.230003356933594,0.0,,Gray,0.0,0.3723040259881039,high,0.0,0.1046213926089397,Social stability,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
fiscal_w_0.40,fiscal_w,0.4,0.23076923076923073,0.18461538461538463,0.18461538461538463,SAU,Saudi Arabia,0.06863293797591165,11,Green,111.2300033569336,80,31.230003356933594,0.0,,Gray,0.0,0.26006209272395653,high,0.11169965464556489,0.1587909850735657,Social stability,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
fiscal_w_0.40,fiscal_w,0.4,0.23076923076923073,0.18461538461538463,0.18461538461538463,QAT,Qatar,0.049107987085486846,12,Green,111.2300033569336,55,56.230003356933594,0.0,,Gray,0.0,0.22837303875976875,high,0.03762855795328496,0.1228696464269916,Social stability,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
fiscal_w_0.40,fiscal_w,0.4,0.23076923076923073,0.18461538461538463,0.18461538461538463,ARE,UAE,0.040593610964266405,13,Green,111.2300033569336,65,46.230003356933594,0.0,,Gray,0.0,0.2027947886550412,high,0.017087270734735135,0.1129079938072191,Social stability,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
fiscal_w_0.40,fiscal_w,0.4,0.23076923076923073,0.18461538461538463,0.18461538461538463,MAR,Morocco,0.024628158957391642,14,Gray,111.2300033569336,0,,0.0,,Gray,0.0,0.06819204801200299,high,0.0652104796738684,0.1362457080069147,Mixed,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
fiscal_w_0.45,fiscal_w,0.45,0.21153846153846154,0.16923076923076924,0.16923076923076924,IRN,Iran,0.36903785269059936,1,Red,111.2300033569336,130,-18.769996643066406,0.9777777777777777,6.666666666666667,Red,0.14438458956204928,0.19861637024606502,low,0.37590787845889617,0.2869207617965515,Reserve runway,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
fiscal_w_0.45,fiscal_w,0.45,0.21153846153846154,0.16923076923076924,0.16923076923076924,LBN,Lebanon,0.2827791563275434,2,Gray,111.2300033569336,0,,0.0,,Gray,0.0,0.6709677419354838,low,1.0,0.5895789570393043,Chain transmission,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
fiscal_w_0.45,fiscal_w,0.45,0.21153846153846154,0.16923076923076924,0.16923076923076924,DZA,Algeria,0.26954108853056424,3,Red,111.2300033569336,135,-23.769996643066406,0.3666666666666667,25.0,Amber,0.17607404920789932,0.23827304588208706,medium,0.42793951307145434,0.3121538965915884,Mixed,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
fiscal_w_0.45,fiscal_w,0.45,0.21153846153846154,0.16923076923076924,0.16923076923076924,IRQ,Iraq,0.2581515600936179,4,Red,111.2300033569336,130,-18.769996643066406,0.0,40.0,Green,0.14438458956204928,0.4977909832200554,medium,0.6437183041795101,0.4167974535830795,Chain transmission,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
fiscal_w_0.45,fiscal_w,0.45,0.21153846153846154,0.16923076923076924,0.16923076923076924,LBY,Libya,0.22762253441621572,5,Red,111.2300033569336,115,-3.7699966430664062,0.0,100.0,Green,0.032782579504925274,0.41323538056207654,low,0.8446350091229197,0.5142335294658096,Chain transmission,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
fiscal_w_0.45,fiscal_w,0.45,0.21153846153846154,0.16923076923076924,0.16923076923076924,JOR,Jordan,0.1120271881753431,6,Gray,111.2300033569336,0,,0.0,,Gray,0.0,0.43544700814237125,high,0.22653183107556524,0.2144797176732966,Social stability,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
fiscal_w_0.45,fiscal_w,0.45,0.21153846153846154,0.16923076923076924,0.16923076923076924,EGY,Egypt,0.11017602625057318,7,Green,111.2300033569336,45,66.2300033569336,0.0,,Gray,0.0,0.3177750552485924,high,0.3332650998684309,0.2662408237507762,Mixed,,"{'fiscal_stress_score': 0.35, 'reserve_runway_risk': 0.25, 'social_stability_risk': 0.2, 'chain_transmission_severity_recent': 0.2}"
